b_win,a_ortg,a_drtg,a_pospg,a_efg,a_opp_efg,a_ts,a_opp_ts,a_a_rate,a_ft_rate,a_ppg,a_opp_ppg,a_apg,a_rpg,a_orpg,a_bpg,a_spg,a_topg,a_pfpg,a_rank,a_sos,b_ortg,b_drtg,b_pospg,b_efg,b_opp_efg,b_ts,b_opp_ts,b_a_rate,b_ft_rate,b_ppg,b_opp_ppg,b_apg,b_rpg,b_orpg,b_bpg,b_spg,b_topg,b_pfpg,b_rank,b_sos
0,98.73388845,94.17132428,68.4921875,0.492857143,0.478426396,0.532611371,0.527607362,0.534759358,0.44047619,67.625,64.5,12.5,30.875,9.5,3.375,7.75,14.125,21.125,104.25,142.8544061,83.45455301,110.5523461,66.83611111,0.424175824,0.559055118,0.469751556,0.573547803,0.461077844,0.367032967,55.77777778,73.88888889,8.555555556,26,7.333333333,2.777777778,3.333333333,14.88888889,17.44444444,343.5,191.8253425
0,101.1894627,111.3084089,64.2359375,0.5,0.549140049,0.533634358,0.581832977,0.589285714,0.421182266,65,71.5,12.375,27.25,7.875,1.375,5.125,11,19.25,230.90625,168.908046,96.41700354,98.22482236,71.11964286,0.417705736,0.451073986,0.489496227,0.491580799,0.581699346,0.46882793,68.57142857,69.85714286,12.71428571,46,14.42857143,6.285714286,4,15.57142857,21.28571429,204.21875,183.0982143
1,93.8215103,97.56604951,68.67142857,0.469086022,0.531073446,0.505492042,0.552674994,0.446666667,0.419354839,64.42857143,67,9.571428571,27.71428571,8.142857143,1.428571429,6.285714286,14.14285714,20.85714286,170.78125,146.4419643,102.6362698,92.6916221,66.61875,0.497742664,0.443722944,0.526493094,0.474612096,0.464646465,0.363431151,68.375,61.75,11.5,35.375,11.25,5,4.375,12.25,15,108.46875,174.5852713
0,98.05335256,95.9283573,65.8825,0.462633452,0.461111111,0.495931214,0.502904432,0.443478261,0.334519573,64.6,63.2,10.2,30.2,10.2,2.8,5.6,11.8,16.8,160.375,203.173913,85.51025109,102.6491592,67.828125,0.414712154,0.514573991,0.438687719,0.541407465,0.496969697,0.268656716,58,69.625,10.25,30,10.75,3.625,7.75,12.375,17.625,307.5,164.3219697
0,91.47029858,94.54493046,65.0484375,0.486486486,0.440047962,0.511360584,0.486791333,0.563953488,0.302211302,59.5,61.5,12.125,25.5,6.75,2.75,6.625,12.5,21.5,191.5625,176.1992337,90.86848319,107.2043903,65.29583333,0.47689769,0.554662379,0.49905376,0.581918947,0.496062992,0.372937294,59.33333333,70,10.5,30,8,2.666666667,6.333333333,13.66666667,17.16666667,296.25,153.6377551
0,93.20096458,88.19016003,66.52291667,0.466876972,0.441823899,0.505675253,0.480283804,0.451851852,0.337539432,62,58.66666667,10.16666667,30,6.166666667,4.333333333,4.5,11.66666667,16.16666667,54.72727273,99.91,82.08391979,122.8810966,76.5984375,0.404716981,0.614919355,0.429841053,0.636544233,0.461538462,0.218867925,62.875,94.125,10.5,27.125,10,4.125,6.625,13.25,20.375,332.5,131.8429119
0,102.4167653,88.8964002,65.74444444,0.5,0.444685466,0.527552886,0.490625874,0.563063063,0.289108911,67.33333333,58.44444444,13.88888889,35,11.33333333,4.111111111,7.888888889,12.44444444,17.22222222,50.6969697,113.5348837,85.62579705,109.6738932,68.6125,0.409302326,0.52739726,0.45628853,0.570318791,0.44516129,0.41627907,58.75,75.25,8.625,29.125,9.25,1.375,5.25,13.625,20.875,344.34375,219.4124514
1,96.36135508,84.11543287,71.16071429,0.471321696,0.392059553,0.5082054,0.43736952,0.647058824,0.374064838,68.57142857,59.85714286,15.71428571,34.42857143,9.571428571,4.142857143,6.714285714,13.28571429,19.71428571,66.9375,135.6977778,87.38807342,92.63976052,68.00535714,0.426273458,0.460382514,0.470215892,0.503740933,0.506849315,0.391420912,59.42857143,63,10.57142857,30.71428571,9.142857143,3.285714286,7.142857143,14.42857143,18,222.8125,196.5394737
1,109.4812321,97.93848239,71.4734375,0.573286052,0.493348115,0.60983926,0.527978127,0.555023923,0.449172577,78.25,70,14.5,29,7.25,5.375,8.5,14.5,20.375,115.53125,208.0428016,102.6329375,96.23128549,69.17857143,0.497512438,0.486376022,0.528807788,0.527656683,0.472222222,0.355721393,71,66.57142857,12.14285714,33.71428571,11.57142857,5.142857143,6.714285714,14.57142857,19.85714286,99.90625,135.3628319
1,78.45540913,102.7684135,69.92142857,0.402144772,0.532763533,0.437806407,0.572436554,0.385714286,0.36997319,54.85714286,71.85714286,7.714285714,28,7.571428571,2.857142857,7,15.28571429,22.85714286,323.0625,152.1377778,116.0641362,95.08661823,72.696875,0.57537155,0.490778689,0.6085467,0.517257506,0.646808511,0.373673036,84.375,69.125,19,33.75,7.5,2.875,6.125,10.625,14.5,15.25,126.870229
